,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,日期,项目编号,城市,项目名称,单价,单位,数量(2人）,小计（2人）,数量(4人）,小计（4人）,备注,,日期,3星级,4星,5星,,,,,,
,Day 1,SH-TRANS-04,上海,机场接机,150,次,1,150,1,150,,,Day 1,550,900,1400,,,,,,
,Day 1,SH-TICKET-XX,上海,上海中心大厦,180,人,2,360,4,720,,,Day 2,550,900,1400,,,,,,
,Day 1,SH-ACTIVITY-01,上海,黄浦江游船,286,人,2,572,4,1144,,,Day 3,550,900,1400,,,,,,
,Day 2,SH-GUIDE-01,上海,英文导游,1200,天,1,1200,1,1200,,,Day 4,400,500,1200,,,,,,
,Day 2,SH-TRANS-07,上海,滴滴(朱家角往返),350,天,1,350,0,0,含50人民币空间,,Day 5,400,500,1200,,,,,,
,Day 2,SH-TRANS-05,上海,7座车(朱家角往返),900,天,0,0,1,900,,,Day 6,400,500,1200,,,,,,
,Day 3,SH-GUIDE-01,上海,英文导游,1200,天,1,1200,1,1200,,,Day 7,400,500,1200,,,,,,
,Day 3,SH-TRANS-06,上海,滴滴快车市内,250,天,1,250,0,0,含50人民币空间,,Day 8,400,500,1200,,,,,,
,Day 3,SH-TRANS-02,上海,7座车市内包车,800,天,0,0,1,800,,,Day 9,300,400,1200,,,,,,
,Day 3,SH-TICKET-04,上海,静安寺门票,50,人,2,100,4,200,,,Day 10,300,400,1200,,,,,,
,Day 4,SH-TRANS-04,上海,机场接机,150,次,1,150,1,150,,,Day 1,550,900,1400,,,,,,
,Day 4,MULTI-FLIGHT-01,上海-重庆,经济舱机票,700,人,2,1400,4,2800,09:15-12:30 上航FM7347,,Day 11,300,400,400,,,,,,
,Day 4,CQ-GUIDE-01,重庆,英文导游,600,天,1,600,1,600,,,Day 12,300,400,400,,,,,,
,Day 4,CQ-TRANS-07,重庆,滴滴快车市内,250,天,1,250,0,0,含50人民币空间,,Day 13,300,400,400,,,,,,
,Day 4,CQ-TRANS-02,重庆,7座车市内包车,700,天,0,0,1,700,,,Day 14,300,400,400,,,,,,
,Day 5,CQ-GUIDE-01,重庆,英文导游,600,天,1,600,1,600,,,Day 15,400,500,400,,,,,,
,Day 5,CQ-TRANS-XX,重庆,滴滴(武隆往返),600,天,1,600,0,0,,,Day 16,400,500,1200,,,,,,
,Day 5,CQ-TRANS-05,重庆,7座车(武隆往返),1200,天,0,0,1,1200,,,Day 17,400,500,1200,,,,,,
